Country,SDG Index Score,SDG Index Rank
Finland,86.35,1
Sweden,85.7,2
Denmark,85,3
Germany,83.45,4
France,82.76,5
Austria,82.55,6
Norway,82.23,7
Croatia,82.19,8
United Kingdom,82.16,9
Poland,81.69,10
Slovenia,81.34,11
Czechia,81.26,12
Latvia,80.99,13
Spain,80.7,14
Estonia,80.46,15
Portugal,80.22,16
Belgium,80.04,17
Japan,79.87,18
Iceland,79.54,19
Hungary,79.53,20
Slovak Republic,79.35,21
Switzerland,79.3,22
Italy,79.29,23
Netherlands,79.21,24
Canada,78.83,25
New Zealand,78.81,26
Moldova,78.81,27
Ireland,78.72,28
Greece,78.71,29
Belarus,78.6,30
Lithuania,78.12,31
Chile,77.82,32
"Korea, Rep.",77.33,33
Uruguay,77.09,34
Serbia,77.03,35
Malta,76.95,36
Australia,76.88,37
Luxembourg,76.81,38
Cuba,76.74,39
Romania,76.7,40
Bulgaria,75.54,41
Albania,75.03,42
Georgia,74.91,43
Ukraine,74.81,44
Thailand,74.67,45
United States,74.43,46
Argentina,74.4,47
Kyrgyz Republic,74.19,48
Armenia,74.09,49
Bosnia and Herzegovina,73.99,50
North Macedonia,73.8,51
Brazil,73.78,52
Israel,73.53,53
Vietnam,73.32,54
Dominican Republic,73.12,55
Russian Federation,73.1,56
Montenegro,73.05,57
Cyprus,72.92,58
Costa Rica,72.88,59
Tunisia,72.53,60
Bhutan,72.52,61
Fiji,72.29,62
Azerbaijan,72.2,63
Peru,71.88,64
Singapore,71.41,65
Kazakhstan,71.11,66
Maldives,70.93,67
China,70.85,68
Morocco,70.85,69
United Arab Emirates,70.52,70
Algeria,70.47,71
Türkiye,70.47,72
Mauritius,70.45,73
Colombia,70.3,74
Ecuador,70.14,75
Suriname,70.01,76
Jamaica,69.51,77
Indonesia,69.43,78
Malaysia,69.32,79
Mexico,69.28,80
Uzbekistan,69.24,81
Barbados,69.19,82
"Egypt, Arab Rep.",69.15,83
Panama,69.09,84
Jordan,69.06,85
"Iran, Islamic Rep.",68.96,86
El Salvador,68.61,87
Cabo Verde,68.21,88
Tajikistan,68.09,89
Bolivia,68.08,90
Paraguay,68.02,91
Philippines,67.47,92
Sri Lanka,67.43,93
Turkmenistan,67.13,94
Nepal,67.07,95
Brunei Darussalam,67.04,96
Guyana,66.73,97
Namibia,66.54,98
Mongolia,66.31,99
Oman,66.11,100
Belize,65.55,101
Qatar,64.93,102
Saudi Arabia,64.91,103
Cambodia,64.9,104
Gabon,64.88,105
Nicaragua,64.66,106
Bangladesh,64.35,107
Iraq,64.18,108
India,63.99,109
Lebanon,63.89,110
Kuwait,63.76,111
"Bahamas, The",63.73,112
Bahrain,63.56,113
Botswana,63.44,114
South Africa,63.44,115
Senegal,63.39,116
Ghana,63.05,117
Sao Tome and Principe,63.01,118
Lao PDR,62.95,119
Myanmar,62.82,120
Cote d'Ivoire,62.72,121
"Venezuela, RB",62.46,122
Kenya,62.17,123
Honduras,62,124
Trinidad and Tobago,61.83,125
Rwanda,60.87,126
Syrian Arab Republic,60.6,127
Guatemala,59.41,128
Togo,58.37,129
Tanzania,58.2,130
Sierra Leone,58.19,131
Mauritania,58.17,132
Eswatini,57.76,133
Zimbabwe,57.76,134
"Gambia, The",57.61,135
Cameroon,57.28,136
Pakistan,57.02,137
Mali,56.81,138
Benin,56.77,139
Malawi,56.75,140
Guinea,56.42,141
Uganda,56.13,142
Burundi,56.08,143
Lesotho,55.54,144
Ethiopia,55.24,145
Nigeria,54.58,146
Zambia,54.44,147
Mozambique,54.35,148
Burkina Faso,52.92,149
"Congo, Rep.",52.7,150
Haiti,52.68,151
Liberia,52.48,152
Comoros,52.38,153
Papua New Guinea,51.99,154
Angola,51.93,155
Guinea-Bissau,51.86,156
Djibouti,51.68,157
Madagascar,51.22,158
Sudan,49.91,159
Niger,49.86,160
"Congo, Dem. Rep.",48.71,161
Afghanistan,48.24,162
"Yemen, Rep.",46.87,163
Somalia,45.42,164
Chad,45.07,165
Central African Republic,44.21,166
South Sudan,40.14,167
